bg_id,census_geo_id,statefp,countyfp,tractce,blkgrpce,latitude,longitude,population,num_hhs,hh_no_car,hh_car,flood,anthrax,global,bg,pod,GEOID_num
147,1500000US420031413002,42,3,141300,2,40.431741,-79.929698,1550,721,120,601,0,0,1,147,30,420031413002
148,1500000US420031413003,42,3,141300,3,40.432192,-79.925755,2295,1016,199,817,0,0,1,148,30,420031413003
149,1500000US420031414001,42,3,141400,1,40.421712,-79.923601,935,392,8,384,0,0,1,149,5,420031414001
150,1500000US420031414002,42,3,141400,2,40.424436,-79.920454,531,211,0,211,0,0,1,150,30,420031414002
151,1500000US420031414003,42,3,141400,3,40.426793,-79.919245,1205,379,5,374,0,0,1,151,30,420031414003
152,1500000US420031414004,42,3,141400,4,40.419072,-79.916524,1689,928,235,693,0,0,1,152,5,420031414004
153,1500000US420031414005,42,3,141400,5,40.428142,-79.923665,947,536,139,397,0,0,1,153,30,420031414005
154,1500000US420031516001,42,3,151600,1,40.423416,-79.941452,1254,602,59,543,0,0,1,154,5,420031516001
155,1500000US420031516002,42,3,151600,2,40.426518,-79.946274,787,351,62,289,0,0,1,155,5,420031516002
156,1500000US420031516003,42,3,151600,3,40.422861,-79.944643,574,205,0,205,0,0,1,156,5,420031516003
157,1500000US420031517001,42,3,151700,1,40.423153,-79.927863,1127,528,134,394,0,0,1,157,5,420031517001
158,1500000US420031517002,42,3,151700,2,40.427058,-79.933022,604,291,33,258,0,0,1,158,5,420031517002
159,1500000US420031517003,42,3,151700,3,40.42269,-79.938614,539,273,31,242,0,0,1,159,5,420031517003
160,1500000US420031517004,42,3,151700,4,40.42155,-79.935218,885,346,0,346,0,0,1,160,5,420031517004
161,1500000US420031517005,42,3,151700,5,40.421377,-79.931559,843,426,112,314,0,0,1,161,5,420031517005
162,1500000US420031517006,42,3,151700,6,40.42539,-79.931479,1523,626,62,564,0,0,1,162,5,420031517006
163,1500000US420031608001,42,3,160800,1,40.422904,-79.970805,377,199,51,148,0,0,1,163,30,420031608001
164,1500000US420031608002,42,3,160800,2,40.421419,-79.964688,838,399,16,383,0,0,1,164,30,420031608002
165,1500000US420031608003,42,3,160800,3,40.419382,-79.969576,540,275,53,222,0,0,1,165,5,420031608003
166,1500000US420031608004,42,3,160800,4,40.420009,-79.974288,944,464,172,292,0,0.4,1,166,30,420031608004
167,1500000US420031609001,42,3,160900,1,40.42924,-79.972234,1119,597,143,454,0,0.5,1,167,5,420031609001
168,1500000US420031609002,42,3,160900,2,40.426264,-79.97016,1948,1208,229,979,0,0.4,1,168,30,420031609002
169,1500000US420031702001,42,3,170200,1,40.429103,-79.987364,506,350,153,197,0,1,1,169,30,420031702001
170,1500000US420031702002,42,3,170200,2,40.430114,-79.980158,801,449,68,381,0,0.7,1,170,5,420031702002
171,1500000US420031702003,42,3,170200,3,40.42718,-79.984903,1098,552,112,440,0,0.9,1,171,30,420031702003
172,1500000US420031702004,42,3,170200,4,40.427159,-79.979621,935,510,76,434,0,0.6,1,172,5,420031702004
173,1500000US420031706001,42,3,170600,1,40.424265,-79.986076,465,238,15,223,0,0.8,1,173,5,420031706001
174,1500000US420031706002,42,3,170600,2,40.423323,-79.980329,667,335,33,302,0,0.6,1,174,30,420031706002
175,1500000US420031706003,42,3,170600,3,40.420761,-79.985789,612,253,76,177,0,0.6,1,175,30,420031706003
176,1500000US420031803001,42,3,180300,1,40.423385,-79.993826,1055,500,246,254,0,0.9,1,176,5,420031803001
177,1500000US420031803002,42,3,180300,2,40.420784,-79.992613,665,215,108,107,0,0.8,1,177,30,420031803002
178,1500000US420031803003,42,3,180300,3,40.419235,-79.992545,652,222,21,201,0,0,1,178,30,420031803003
179,1500000US420031807001,42,3,180700,1,40.426402,-80.001675,654,326,5,321,0,1,1,179,5,420031807001
180,1500000US420031807002,42,3,180700,2,40.424709,-80.001223,580,290,28,262,0,1,1,180,5,420031807002
181,1500000US420031807003,42,3,180700,3,40.422756,-80.000448,942,394,139,255,0,0.9,1,181,5,420031807003
182,1500000US420031903001,42,3,190300,1,40.434877,-80.01515,865,552,20,532,0,1,1,182,5,420031903001
183,1500000US420031903002,42,3,190300,2,40.431104,-80.01487,891,495,16,479,0,0.9,1,183,6,420031903002
184,1500000US420031911001,42,3,191100,1,40.433366,-80.02188,1097,554,31,523,0,0.7,1,184,5,420031911001
185,1500000US420031911002,42,3,191100,2,40.437999,-80.023756,1489,746,106,640,0,0.6,1,185,1,420031911002
186,1500000US420031914001,42,3,191400,1,40.429229,-80.00793,1427,809,242,567,0,1,1,186,6,420031914001
187,1500000US420031914002,42,3,191400,2,40.42677,-80.012383,1188,561,93,468,0,0.9,1,187,30,420031914002
188,1500000US420031915001,42,3,191500,1,40.420181,-80.010958,593,296,52,244,0,0.7,1,188,5,420031915001
189,1500000US420031915002,42,3,191500,2,40.422778,-80.009192,1064,591,145,446,0,0.8,1,189,5,420031915002
190,1500000US420031916001,42,3,191600,1,40.421733,-80.024069,876,417,29,388,0,0.4,1,190,6,420031916001
191,1500000US420031916002,42,3,191600,2,40.412833,-80.017636,833,347,25,322,0,0,1,191,5,420031916002
192,1500000US420031916003,42,3,191600,3,40.411708,-80.020514,490,253,30,223,0,0,1,192,5,420031916003
193,1500000US420031916004,42,3,191600,4,40.413734,-80.024458,794,362,49,313,0,0,1,193,6,420031916004
194,1500000US420031916005,42,3,191600,5,40.411514,-80.027101,1216,519,92,427,0,0,1,194,6,420031916005
195,1500000US420031917001,42,3,191700,1,40.403553,-80.011234,1955,957,64,893,0,0,1,195,6,420031917001
196,1500000US420031917002,42,3,191700,2,40.39973,-80.017211,619,250,19,231,0,0,1,196,6,420031917002
197,1500000US420031917003,42,3,191700,3,40.403123,-80.018102,956,363,84,279,0,0,1,197,5,420031917003
198,1500000US420031918001,42,3,191800,1,40.392232,-80.020465,886,372,56,316,0,0,1,198,5,420031918001
199,1500000US420031918002,42,3,191800,2,40.39051,-80.022584,516,218,26,192,0,0,1,199,43,420031918002
200,1500000US420031918003,42,3,191800,3,40.389707,-80.016948,586,312,15,297,0,0,1,200,5,420031918003
201,1500000US420031918004,42,3,191800,4,40.393463,-80.026528,636,266,26,240,0,0,1,201,6,420031918004
202,1500000US420031918005,42,3,191800,5,40.38579,-80.013796,776,340,73,267,0,0,1,202,6,420031918005
203,1500000US420031918006,42,3,191800,6,40.386501,-80.00946,1174,465,12,453,0,0,1,203,43,420031918006
204,1500000US420031918007,42,3,191800,7,40.390027,-80.012326,885,395,94,301,0,0,1,204,43,420031918007
205,1500000US420031919001,42,3,191900,1,40.39705,-80.019794,762,341,7,334,0,0,1,205,5,420031919001
206,1500000US420031919002,42,3,191900,2,40.394758,-80.01902,760,387,26,361,0,0,1,206,6,420031919002
207,1500000US420031919003,42,3,191900,3,40.396169,-80.02672,536,274,74,200,0,0,1,207,5,420031919003
208,1500000US420031920001,42,3,192000,1,40.406016,-80.022096,537,250,12,238,0,0,1,208,6,420031920001
209,1500000US420031920002,42,3,192000,2,40.40147,-80.02568,585,262,82,180,0,0,1,209,6,420031920002
210,1500000US420031920003,42,3,192000,3,40.404893,-80.030544,1213,404,62,342,0,0,1,210,43,420031920003
211,1500000US420031920004,42,3,192000,4,40.401314,-80.029727,598,294,88,206,0,0,1,211,43,420031920004
212,1500000US420031920005,42,3,192000,5,40.408424,-80.023678,734,348,70,278,0,0,1,212,5,420031920005
213,1500000US420032022001,42,3,202200,1,40.452377,-80.063996,1611,667,110,557,0,0.3,1,213,1,420032022001
214,1500000US420032022002,42,3,202200,2,40.455173,-80.062838,834,271,34,237,0,0,1,214,1,420032022002
215,1500000US420032022003,42,3,202200,3,40.458498,-80.063991,643,317,38,279,0,0,1,215,1,420032022003
216,1500000US420032023001,42,3,202300,1,40.418032,-80.036747,992,541,53,488,0,0.3,1,216,6,420032023001
217,1500000US420032023002,42,3,202300,2,40.40288,-80.046191,771,359,13,346,0,0,1,217,43,420032023002
218,1500000US420032023003,42,3,202300,3,40.408292,-80.042426,884,262,0,262,0,0,1,218,6,420032023003
219,1500000US420032023004,42,3,202300,4,40.413193,-80.035432,1193,702,42,660,0,0,1,219,6,420032023004
220,1500000US420032107001,42,3,210700,1,40.453505,-80.023739,1309,735,262,473,0,0.6,1,220,1,420032107001
221,1500000US420032107002,42,3,210700,2,40.456873,-80.02608,685,360,108,252,0,0.4,1,221,1,420032107002
222,1500000US420032206001,42,3,220600,1,40.455648,-80.011786,1269,817,260,557,0,0.9,1,222,1,420032206001
223,1500000US420032206002,42,3,220600,2,40.457059,-80.005998,388,174,56,118,0,0.9,1,223,1,420032206002
224,1500000US420032406001,42,3,240600,1,40.464698,-79.982175,1386,811,119,692,0,0.5,1,224,30,420032406001
225,1500000US420032406002,42,3,240600,2,40.461155,-79.986647,750,431,146,285,0,0.6,1,225,1,420032406002
226,1500000US420032412001,42,3,241200,1,40.470654,-79.9879,231,104,28,76,0,0.4,1,226,1,420032412001
227,1500000US420032412002,42,3,241200,2,40.459766,-79.991997,545,279,111,168,0,0.8,1,227,1,420032412002
228,1500000US420032503001,42,3,250300,1,40.458152,-80.012419,1076,536,163,373,0,0.8,1,228,1,420032503001
229,1500000US420032507001,42,3,250700,1,40.460217,-80.021765,608,279,146,133,0,0.5,1,229,1,420032507001
230,1500000US420032509001,42,3,250900,1,40.460749,-80.005462,692,413,248,165,0,0.8,1,230,1,420032509001
231,1500000US420032509002,42,3,250900,2,40.463605,-80.005872,368,191,44,147,0,0.7,1,231,1,420032509002
232,1500000US420032602001,42,3,260200,1,40.490332,-80.013764,642,273,41,232,0,0,1,232,1,420032602001
233,1500000US420032602002,42,3,260200,2,40.490742,-80.022242,956,466,80,386,0,0,1,233,1,420032602002
234,1500000US420032602003,42,3,260200,3,40.492089,-80.01852,351,188,4,184,0,0,1,234,1,420032602003
235,1500000US420032607001,42,3,260700,1,40.484939,-80.012516,453,252,46,206,0,0,1,235,1,420032607001
236,1500000US420032607002,42,3,260700,2,40.479569,-80.011967,1109,464,44,420,0,0,1,236,1,420032607002
237,1500000US420032609001,42,3,260900,1,40.477072,-80.000473,1363,550,314,236,0,0,1,237,1,420032609001
238,1500000US420032612001,42,3,261200,1,40.49475,-80.009967,1052,488,26,462,0,0,1,238,1,420032612001
239,1500000US420032614001,42,3,261400,1,40.465278,-80.016751,524,201,0,201,0,0.5,1,239,1,420032614001
240,1500000US420032614002,42,3,261400,2,40.46244,-80.013327,387,253,81,172,0,0.6,1,240,1,420032614002
241,1500000US420032614003,42,3,261400,3,40.467488,-80.011466,643,227,102,125,0,0.5,1,241,1,420032614003
242,1500000US420032614004,42,3,261400,4,40.46809,-80.007404,515,278,32,246,0,0.5,1,242,1,420032614004
243,1500000US420032615001,42,3,261500,1,40.47307,-80.010722,640,370,122,248,0,0,1,243,1,420032615001
244,1500000US420032615002,42,3,261500,2,40.471598,-80.01646,1021,393,105,288,0,0.3,1,244,1,420032615002
245,1500000US420032620001,42,3,262000,1,40.463328,-79.992972,1151,613,144,469,0,0.7,1,245,1,420032620001
246,1500000US420032620002,42,3,262000,2,40.46774,-79.993168,674,296,150,146,0,0.6,1,246,1,420032620002
247,1500000US420032620003,42,3,262000,3,40.468981,-79.993897,714,361,64,297,0,0.5,1,247,1,420032620003
248,1500000US420032701001,42,3,270100,1,40.484662,-80.039596,1814,701,15,686,0,0,1,248,1,420032701001
249,1500000US420032701002,42,3,270100,2,40.483163,-80.044221,867,345,43,302,0,0,1,249,1,420032701002
250,1500000US420032703001,42,3,270300,1,40.478469,-80.035256,1476,593,67,526,0,0,1,250,1,420032703001
251,1500000US420032703002,42,3,270300,2,40.4773,-80.03966,562,288,71,217,0,0,1,251,1,420032703002
252,1500000US420032704001,42,3,270400,1,40.465863,-80.028522,1001,446,64,382,0,0.3,1,252,1,420032704001
